Breed,Age (years),Weight (kg),Gender,Spayed/Neutered,Vaccination Status,Fever,Eating Normally,Lethargy,Vomiting,Coughing/Sneezing,Breathing Issue,Rash/Swelling,Wounds/Cuts,Hair Loss,Excessive Scratching,Red/Watery Eyes,Eye Discharge,Ear Odor,Shakes Head,Eating Less,Excessive Drinking,Abnormal Stools,Aggressive/Irritable,Avoiding Interaction,Pacing/Whining,Pain Symptoms,Food Changes,Exposure to Sick Dogs,Predicted Sickness
Staffordshire Bull Terrier,1,9.9,Female,Yes,Up to date,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Ear Infection
Golden Retriever,15,37.2,Female,No,Up to date,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Healthy
Shih Tzu,11,4.2,Male,No,Not up to date,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Skin Allergy
Alaskan Malamute,10,34.9,Male,No,Up to date,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Gastrointestinal Infection
Shih Tzu,4,7.8,Female,No,Up to date,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Kennel Cough
Maltese,5,5.6,Male,No,Not up to date,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Respiratory Infection
Maltese,2,7.4,Male,No,Up to date,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Gastrointestinal Infection
Doberman Pinscher,2,34.5,Female,Yes,Up to date,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Gastrointestinal Infection
Shetland Sheepdog,0,10.6,Female,No,Up to date,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Ear Infection
Australian Shepherd,9,21.9,Female,Yes,Not up to date,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Skin Allergy
Bulldog,15,14.3,Male,Yes,Not up to date,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Skin Allergy
Staffordshire Bull Terrier,8,18.1,Male,No,Not up to date,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Respiratory Infection
Tibetan Mastiff,3,45.3,Male,No,Up to date,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Gastrointestinal Infection
German Shepherd,12,49.0,Male,Yes,Not up to date,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Gastrointestinal Infection
Leonberger,7,53.8,Male,No,Not up to date,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Respiratory Infection
Great Pyrenees,6,39.8,Male,Yes,Up to date,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Worm Infestation
Chihuahua,2,4.3,Female,No,Up to date,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Gastrointestinal Infection
Pomeranian,3,5.2,Female,No,Up to date,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Skin Allergy
Rottweiler,2,57.6,Male,No,Not up to date,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Skin Allergy
Yorkshire Terrier,7,5.3,Male,Yes,Not up to date,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Parvovirus
German Shepherd,12,54.5,Female,Yes,Not up to date,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Skin Allergy
Leonberger,1,42.8,Male,Yes,Up to date,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Skin Allergy
Golden Retriever,3,42.1,Male,Yes,Up to date,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Respiratory Infection
German Shepherd,13,28.2,Female,No,Up to date,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Kennel Cough
Rottweiler,7,37.2,Female,Yes,Up to date,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Gastrointestinal Infection
Leonberger,4,57.8,Female,Yes,Up to date,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Healthy
Beagle,1,14.7,Female,Yes,Up to date,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Ear Infection
Maltese,5,5.7,Male,No,Not up to date,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Gastrointestinal Infection
Leonberger,0,51.6,Female,Yes,Up to date,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Healthy
Staffordshire Bull Terrier,14,12.3,Female,No,Not up to date,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Gastrointestinal Infection
Akita,6,33.1,Male,Yes,Up to date,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Gastrointestinal Infection
Great Pyrenees,8,52.6,Female,No,Not up to date,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Gastrointestinal Infection
Staffordshire Bull Terrier,13,16.2,Male,Yes,Not up to date,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Gastrointestinal Infection
Saint Bernard,6,38.5,Male,Yes,Not up to date,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Skin Allergy
Alaskan Malamute,10,56.0,Male,No,Not up to date,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Skin Allergy
Cocker Spaniel,13,10.3,Female,Yes,Up to date,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Gastrointestinal Infection
Great Dane,7,47.3,Male,No,Up to date,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Skin Allergy
Rottweiler,8,36.2,Female,Yes,Not up to date,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Skin Allergy
Boxer,14,46.2,Male,No,Up to date,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Skin Allergy
Maltese,13,2.9,Female,Yes,Up to date,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Gastrointestinal Infection
Pomeranian,7,3.1,Male,No,Not up to date,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Gastrointestinal Infection
Border Collie,14,13.7,Male,Yes,Up to date,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Ear Infection
Yorkshire Terrier,2,4.3,Male,No,Up to date,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Healthy
Doberman Pinscher,5,58.5,Female,No,Up to date,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Skin Allergy
Great Pyrenees,10,55.8,Male,Yes,Not up to date,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Respiratory Infection
Chihuahua,15,7.0,Male,No,Up to date,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Gastrointestinal Infection
Pomeranian,7,5.5,Male,Yes,Up to date,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Worm Infestation
Staffordshire Bull Terrier,10,24.0,Male,No,Not up to date,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Ear Infection
Leonberger,15,26.4,Male,No,Up to date,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Gastrointestinal Infection
Chihuahua,5,4.1,Male,No,Not up to date,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Ear Infection
Corgi,7,23.8,Female,Yes,Not up to date,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Respiratory Infection
Tibetan Mastiff,1,58.4,Male,No,Up to date,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Gastrointestinal Infection
Belgian Malinois,0,44.9,Female,Yes,Up to date,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Gastrointestinal Infection
Saint Bernard,13,28.5,Male,Yes,Not up to date,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Gastrointestinal Infection
Pomeranian,15,5.6,Female,No,Up to date,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Ear Infection
Shetland Sheepdog,8,9.9,Female,No,Up to date,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Heart Disease
Saint Bernard,3,53.9,Female,Yes,Not up to date,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Respiratory Infection
Irish Wolfhound,15,28.9,Male,No,Not up to date,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Ear Infection
Siberian Husky,13,43.8,Male,Yes,Up to date,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Skin Allergy
Doberman Pinscher,10,44.1,Female,No,Not up to date,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Gastrointestinal Infection
Tibetan Mastiff,12,40.5,Male,No,Up to date,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Ear Infection
Great Dane,1,35.6,Male,Yes,Not up to date,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Tibetan Mastiff,1,41.3,Female,No,Up to date,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Respiratory Infection
Tibetan Mastiff,6,52.3,Male,No,Not up to date,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Kennel Cough
Toy Poodle,12,4.2,Female,No,Not up to date,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Respiratory Infection
Belgian Malinois,1,34.1,Female,Yes,Up to date,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Parvovirus
Staffordshire Bull Terrier,4,9.0,Male,No,Not up to date,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Arthritis
Akita,3,30.8,Male,Yes,Up to date,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Ear Infection
Staffordshire Bull Terrier,15,18.7,Female,Yes,Up to date,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Gastrointestinal Infection
Great Dane,14,51.4,Male,Yes,Not up to date,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Respiratory Infection
Bulldog,8,21.0,Male,No,Up to date,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Respiratory Infection
Bernese Mountain Dog,12,57.8,Female,Yes,Not up to date,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Healthy
Alaskan Malamute,10,49.1,Female,Yes,Up to date,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Gastrointestinal Infection
Boxer,2,47.0,Female,Yes,Up to date,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Golden Retriever,14,39.0,Male,No,Not up to date,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Ear Infection
Great Dane,10,28.9,Male,Yes,Not up to date,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Skin Allergy
Doberman Pinscher,5,52.0,Female,Yes,Not up to date,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Gastrointestinal Infection
Bulldog,3,14.7,Male,No,Up to date,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Ear Infection
Tibetan Mastiff,7,49.8,Female,Yes,Not up to date,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Skin Allergy
Bernese Mountain Dog,10,55.5,Female,Yes,Not up to date,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Skin Allergy
Labrador Retriever,7,27.8,Female,Yes,Not up to date,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Ear Infection
Corgi,6,17.8,Female,Yes,Up to date,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Ear Infection
Corgi,3,24.5,Male,No,Up to date,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Gastrointestinal Infection
Irish Wolfhound,15,55.6,Male,Yes,Up to date,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Kennel Cough
Rottweiler,9,33.0,Male,No,Not up to date,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Ear Infection
German Shepherd,6,27.6,Male,No,Up to date,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Arthritis
Boxer,1,57.0,Male,Yes,Up to date,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Ear Infection
Yorkshire Terrier,6,3.6,Female,No,Up to date,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Respiratory Infection
Corgi,13,11.4,Male,No,Up to date,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Respiratory Infection
Toy Poodle,5,2.8,Female,Yes,Not up to date,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Gastrointestinal Infection
Beagle,2,20.2,Female,No,Not up to date,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Healthy
German Shepherd,11,31.5,Female,No,Up to date,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Parvovirus
Australian Shepherd,0,20.7,Male,Yes,Not up to date,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Respiratory Infection
Boxer,13,51.4,Male,No,Up to date,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Skin Allergy
Rottweiler,0,46.4,Male,No,Not up to date,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Healthy
Dachshund,1,6.6,Male,Yes,Not up to date,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Parvovirus
Shetland Sheepdog,7,17.0,Male,Yes,Up to date,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Kennel Cough
Saint Bernard,1,30.3,Male,Yes,Up to date,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Skin Allergy
Shetland Sheepdog,2,19.2,Male,Yes,Up to date,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Respiratory Infection
Shetland Sheepdog,4,23.7,Female,Yes,Not up to date,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Respiratory Infection
Staffordshire Bull Terrier,14,12.8,Male,Yes,Up to date,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Skin Allergy
Maltese,6,5.1,Male,Yes,Up to date,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Respiratory Infection
Maltese,4,3.0,Female,Yes,Up to date,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Heart Disease
Staffordshire Bull Terrier,5,12.9,Male,Yes,Up to date,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Respiratory Infection
Siberian Husky,15,31.9,Female,No,Up to date,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Gastrointestinal Infection
Bulldog,9,13.9,Male,Yes,Not up to date,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Respiratory Infection
Mastiff,2,53.4,Female,No,Up to date,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Parvovirus
Shih Tzu,5,3.9,Male,No,Not up to date,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Skin Allergy
Border Collie,10,18.5,Female,No,Not up to date,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Respiratory Infection
Shih Tzu,9,6.1,Male,No,Not up to date,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Gastrointestinal Infection
Dachshund,9,3.5,Male,No,Not up to date,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Gastrointestinal Infection
Saint Bernard,5,36.3,Female,No,Up to date,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Gastrointestinal Infection
Rottweiler,7,58.6,Male,Yes,Not up to date,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Kennel Cough
Yorkshire Terrier,5,5.8,Male,No,Not up to date,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Heart Disease
Border Collie,5,15.4,Female,Yes,Up to date,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Ear Infection
Mastiff,13,44.8,Female,Yes,Up to date,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Skin Allergy
Belgian Malinois,15,55.0,Male,Yes,Not up to date,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Gastrointestinal Infection
Leonberger,5,58.4,Male,No,Not up to date,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Ear Infection
Chihuahua,11,3.6,Female,Yes,Not up to date,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Heart Disease
Toy Poodle,4,5.6,Female,Yes,Not up to date,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Gastrointestinal Infection
Labrador Retriever,8,30.6,Male,No,Up to date,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Respiratory Infection
Great Dane,0,36.9,Female,No,Not up to date,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Respiratory Infection
Dachshund,12,4.9,Male,Yes,Not up to date,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Skin Allergy
Alaskan Malamute,9,38.5,Female,Yes,Not up to date,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Respiratory Infection
Maltese,11,7.7,Female,Yes,Not up to date,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Respiratory Infection
Beagle,2,14.0,Male,No,Up to date,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Respiratory Infection
Yorkshire Terrier,6,5.4,Male,Yes,Up to date,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Gastrointestinal Infection
Doberman Pinscher,3,30.1,Male,No,Not up to date,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Toy Poodle,14,5.4,Male,Yes,Up to date,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Gastrointestinal Infection
Corgi,0,10.9,Female,Yes,Not up to date,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Ear Infection
Great Pyrenees,6,27.7,Female,No,Not up to date,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Parvovirus
Alaskan Malamute,1,41.3,Male,No,Up to date,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Healthy
